RAL,RGB,HEX,CMYK,LRV,Inglese,Tedesco,Francese,Spagnolo,Italiano,Olandese
RAL 7047,200-200-199,#C8C8C7,0-0-0-22,59.07,Telegrey 4,Telegrau 4,Telegris 4,Grigio tele 4,Grigio tele 4,Telegrijs 4
RAL 7048,129-123-115,#817B73,0-5-11-49,33.57,Grigio topo perlato,Perlmausgrau,Gris souris nacré,Gris musgo perlado,Grigio topo perlato,Parelmoermuisgrijs
RAL 8000,137-105-63,#89693F,0-23-54-46,18.33,Marrone verde,Grünbraun,Brun vert,Pardo verdoso,Marrone verdastro,Groenbruin
RAL 8001,157-98-43,#9D622B,0-38-73-38,18.69,Marrone ocra,Ockerbraun,Brun terre de Sienne,Pardo ocre,Marrone ocra,Okerbruin
RAL 8002,121-77-62,#794D3E,0-36-49-53,12.23,Marrone segnale,Signalbraun,Brun de sécurité,Marrón señales,Marrone segnale,Signaalbruin
RAL 8003,126-75-39,#7E4B27,0-40-69-51,12.78,Marrone argilla,Lehmbraun,Brun argile,Pardo arcilla,Marrone fango,Leembruin
RAL 8004,141-73-49,#8D4931,0-48-65-45,13.54,Marrone rame,Kupferbraun,Brun cuivré,Pardo cobre,Marrone rame,Koperbruin
RAL 8007,112-70-43,#70462B,0-38-62-56,10.60,Marrone fulvo,Rehbraun,Brun fauve,Pardo corzo,Marrone capriolo,Reebruin
RAL 8008,114-74-37,#724A25,0-35-68-55,11.88,Marrone oliva,Olivbraun,Brun oliva,Pardo oliva,Marrone oliva,Olijfbruin
RAL 8011,90-56-39,#5A3827,0-38-57-65,8.11,Marrone noce,Nußbraun,Brun noisette,Pardo nuez,Marrone noce,Notenbruin
RAL 8012,102-51-43,#66332B,0-50-58-60,8.16,Marrone rossastro,Rotbraun,Brun rouge,Pardo rojo,Marrone rossiccio,Roodbruin
RAL 8014,74-53-38,#4A3526,0-28-49-71,7.12,Marrone seppia,Sepiabraun,Brun sépia,Seppia,Marrone seppia,Sepiabruin
RAL 8015,94-47-38,#5E2F26,0-50-60-63,7.67,Marrone castagna,Kastanienbraun,Marron,Castaño,Marrone castagna,Kastanjebruin
RAL 8016,76-43-32,#4C2B20,0-43-58-70,6.78,Marrone mogano,Mahagonibraun,Brun acajou,Caoba,Marrone mogano,Mahoniebruin
RAL 8017,68-47-41,#442F29,0-31-40-73,6.64,Marrone cioccolato,Schokoladenbraun,Brun chocolat,Cioccolato,Marrone cioccolata,Chocoladebruin
RAL 8019,61-54-53,#3D3635,0-11-13-76,6.88,Marrone grigiastro,Graubraun,Brun gris,Pardo grisáceo,Marrone grigiastro,Grijsbruin
RAL 8022,26-23-25,#1A1719,0-12-4-90,4.57,Marrone nero,Schwarzbraun,Brun noir,Pardo negruzco,Marrone nerastro,Zwartbruin
RAL 8023,164-87-41,#A45729,0-47-75-36,17.78,Marrone arancio,Orangebraun,Brun orangé,Pardo anaranjado,Marrone arancio,Oranjebruin
RAL 8024,121-80-56,#795038,0-34-54-53,12.99,Marrone beige,Beigebraun,Beige Brun,Beige Pardo,Beige Marrone,Beigebruin
RAL 8025,117-88-71,#755847,0-25-39-54,13.68,Marrone chiaro,Blaßbraun,Brun pâle,Pardo pálido,Marrone pallido,Bleekbruin
RAL 8028,81-58-42,#513A2A,0-28-48-68,8.21,Marrone terra,Terrabraun,Brun terre,Marrón tierra,Marrone terra,Terrabruin
RAL 8029,127-64-49,#7F4031,0-50-61-50,14.02,Rame perlato,Perlkupfer,Cuivre nacré,Cobre perlado,Rame perlato,Parelmoerkoper
RAL 9001,233-224-210,#E9E0D2,0-4-10-9,75.78,Crema,Cremeweiß,Blanc crème,Blanco crema,Bianco crema,Crèmewit
RAL 9002,214-213-203,#D6D5CB,0-0-5-16,67.19,Bianco grigio,Grauweiß,Blanc gris,Blanco grisáceo,Bianco grigiastro,Grijswit
RAL 9003,236-236-231,#ECECE7,0-0-2-7,84.54,Signal white,Signalweiß,Blanc de sécurité,Blanco señales,Bianco segnale,Signaalwit
RAL 9004,43-43-44,#2B2B2C,2-2-0-83,5.69,Signal black,Signalschwarz,Noir de sécurité,Negro señales,Nero segnale,Signaalzwart
RAL 9005,14-14-16,#0E0E10,13-13-0-94,4.22, Nero intenso, Tiefschwarz, Noir foncé, Negro intenso, Nero intenso, Gitzwart
RAL 9006,161-161-160,#A1A1A0,0-0-1-37,45.88,Alluminio bianco,Alluminio bianco,Alluminio bianco,Alluminio bianco,Alluminio brillante,Alluminio grezzo
RAL 9007,134-133-129,#868581,0-1-4-47,28.94,Grigio alluminio,Graualluminio,Aluminium gris,Aluminio gris,Alluminio grigiastro,Grijs aluminiumkleurig
RAL 9010,241-237-225,#F1EDE1,0-2-7-5,84.82,Bianco puro,Reinweiß,Blanc pur,Blanco puro,Bianco puro,Zuiver wit
RAL 9011,39-41-43,#27292B,9-5-0-83,4.87,Nero grafite,Graphitschwarz,Noir grafite,Negro grafito,Nero grafite,Grafietzwart
RAL 9012,248-242-225,#F8F2E1,0-2-9-3,,Camera bianca bianca,Reinraumweiß,Blanc salle blanche,Blanco sala blanca,Bianco cleanroom,Ultrareine zone wit
RAL 9016,241-241-234,#F1F1EA,0-0-3-5,87.27,Bianco traffico,Verkehrsweiß,Blanc signalisation,Blanco tráfico,Bianco traffico,Verkeerswit
RAL 9017,41-41-42,#29292A,2-2-0-84,5.09,Traffic nero,Verkehrsschwarz,Noir signalisation,Negro tráfico,Nero traffico,Verkeerszwart
RAL 9018,200-203-196,#C8CBC4,1-0-3-20,60.77,Papiro bianco,Papyrusweiß,Blanc papiro,Blanco papiro,Bianco papiro,Papyruswit
RAL 9022,133-133-131,#858583,0-0-2-48,35.40,Grigio chiaro perlato,Perlhellgrau,Gris clair nacré,Gris claro perlado,Grigio chiaro perlato,Parelmoerlichtgrijs
RAL 9023,120-123-122,#787B7A,2-0-1-52,33.87,Grigio scuro perla,Perldunkelgrau,Gris fonçé nacré,Gris oscuro perlado,Grigio scuro perlato,Parelmoerdonkergrijs
